"key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
"3_1","3","1","2022_9_29_10-12-09_296.jpg",0,1,0,1,23,1,20,7,0,0,5,2,18,0,0,6,0,0,0
"3_1","3","1","2022_9_29_10-12-09_224.jpg",0,1,13,0,20,0,47,0,0,0,0,0,0,0,12,7,0,0,0
"3_1","3","1","2022_9_29_10-12-09_104.jpg",0,0,0,0,30,0,15,0,0,0,1,0,34,0,11,8,0,0,1
"3_1","3","1","2022_9_29_10-12-09_552.jpg",5,0,0,0,15,0,15,5,0,0,2,9,16,0,7,21,0,0,0
"3_1","3","1","2022_9_29_10-12-09_384.jpg",5,0,0,0,0,0,3,0,0,0,0,68,1,0,19,3,0,0,1
"3_1","3","1","2022_9_29_10-12-09_120.jpg",0,0,14,0,5,0,25,6,0,0,0,0,32,0,12,3,0,0,0
"3_1","3","1","2022_9_29_10-12-09_536.jpg",0,0,0,0,7,0,14,0,0,0,1,13,28,0,11,9,0,0,0
"3_1","3","1","2022_9_29_10-12-09_368.jpg",0,0,0,0,0,0,28,0,0,0,0,37,0,0,33,1,0,0,1
"3_1","3","1","2022_9_29_10-12-09_56.jpg",0,0,2,0,13,0,9,0,0,0,0,0,60,0,6,5,0,0,1
"3_1","3","1","2022_9_29_10-12-09_0.jpg",1,0,4,0,14,0,20,0,0,0,0,0,55,0,3,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_720.jpg",0,0,0,0,52,0,43,0,0,0,0,0,0,0,4,0,0,0,1
"3_1","3","1","2022_9_29_10-12-09_528.jpg",1,0,0,0,8,0,3,0,0,0,1,0,69,0,0,16,0,0,0
"3_1","3","1","2022_9_29_10-12-09_40.jpg",0,0,33,0,27,0,8,0,0,0,0,0,30,0,2,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_192.jpg",0,0,4,0,28,0,26,2,0,0,16,0,0,0,15,5,0,0,0
